C3Name,C3Code
Alat Pengasah,AL-1000013
Taplak meja,TA-1000028
Rotating Tray,RO-1000012
Tempat Buah,TE-1000022
Coaster & Placemat,CO-1000019
Koper & Tas Travel,KO-1000032
Winter Travel,WI-1000067
Aksesoris Travelling,AK-1000090
Kebutuhan Hewan Lainnya,PE-1000583
Aquatic,AQ-1000002
Kebutuhan Anjing,PE-1000575
Kebutuhan Kucing,PE-1000579
Sewa Apartemen,SE-1000162
Custom Design,CU-1000022
Beli Rumah,BE-1000250
Lemari & Laci,LE-1000113
Meja,ME-1000208
Kursi & Sofa,KU-1000141
Tempat Tidur,TE-1000186
Dekorasi,DE-1000112
Smart Watch,SM-1000001
Activity Trackers & Pedometers,AC-1000002
Aksesoris Wearable,AK-1000007
Smartglasses,SM-1000006
Wearable Lainnya,WE-1000006
True Wireless,TR-1000059
Wearable Apple,WE-1000057
Casing,CA-1000001
Kartu Perdana,KA-1000224
Screen Protector,SK-1000001
Charge,CH-1000001
Powerbank,PO-1000001
Baterai Handphone,BA-1000002
Speaker Handphone,SP-1000001
Aksesoris Handphone & Tablet Lainnya,AK-1000003
Kartu Memori Handphone,ME-1000063
Phone Grip,PH-1000011
Pelindung Kabel,PE-1000759
Gadget Organizer,GA-1000109
Kabel Data,KA-1000289
Aksesoris Apple,AK-1000405
Tablet Android,TA-1000004
iPad,IP-1000002
Tablet Lainnya,TA-1000005
Android,AN-1000001
iPhone,IP-1000001
Blackberry,BL-1000001
Windows Phone,WI-1000001
Handphone Lainnya,HA-1000003
Luaran Batik & Etnik Wanita,LU-1000027
Kain Batik & Etnik,KA-1000212
Dress Batik & Etnik Wanita,DR-1000050
Bawahan Batik & Etnik Wanita,BA-1000355
Atasan Batik & Etnik Wanita,AT-1000050
Pakaian Dress,DR-1000004
Atasan Wanita,AT-1000001
Preloved Pakaian,PR-1000114
Bawahan Wanita,BA-1000023
Outerwear Wanita,OU-1000002
Playsuits & Jumpsuits,PL-1000004
Plus Size,PL-1000074
Pakaian Set Wanita,PA-1000216
Slip On & Loafer,SL-1000004
Wedges,WE-1000004
Flats & Ballerina,FL-1000008
Sandal Wanita,SA-1000009
Preloved Sepatu,PR-1000115
Heels,HE-1000004
Boots,BO-1000016
Sepatu Sneaker Wanita,SN-1000003
Aksesoris Sepatu Wanita,AK-1000263
Clutches,CL-1000005
Dompet Wanita,DO-1000006
Tote Bags,TO-1000007
Shoulder Bags,SH-1000004
Preloved Tas,PR-1000116
Sling Bags,SL-1000005
Hand Bags,HA-1000017
Backpack Wanita,BA-1000037
Satchel Bags,SA-1000012
Waist Bag,WA-1000051
Aksesoris Anak,AK-1000066
Pakaian Anak Laki-Laki,PA-1000033
Pakaian Anak Perempuan,PA-1000036
Pakaian Bayi,PA-1000037
Kaos Kaki Anak & Bayi,KA-1000035
Sepatu Anak,SE-1000032
Perlengkapan Babysitter,BA-1000036
Sandal Anak,SA-1000091
Aneka Perhiasan,PE-1000168
Aksesoris Rambut Wanita,AK-1000349
Kacamata Optik,KA-1000044
Ikat Pinggang Wanita,IK-1000001
Scarf & Shawl,SC-1000003
Preloved Aksesoris,PR-1000117
Aksesoris Wanita Lainnya,AK-1000079
Aneka Bros,BR-1000008
Kacamata Sunglasses,KA-1000210
Topi Wanita,TO-1000086
Pakaian Dalam Wanita,PA-1000016
Baju Tidur Wanita,BA-1000033
Aksesoris Wanita Branded,AK-1000434
Pakaian Wanita Branded,PA-1000509
Sepatu Wanita Branded,SE-1000570
Tas Wanita Branded,TA-1000324
T-Shirt Pria,T--1000001
Baju Kasual,BA-1000010
Kaos Polo Pria,KA-1000012
Kemeja Formal Pria,FO-1000002
Sweater & Cardigan,SW-1000001
Jaket & Hoodies,JA-1000005
Jas & Blazer,JA-1000004
Rompi Pria,RO-1000001
Jeans Pria,DE-1000006
Celana Kasual Pria,CE-1000001
Celana Pendek Pria,CE-1000002
Celana Jogger Pria,CE-1000068
Celana Formal Pria,CE-1000067
Batik Lengan Panjang Pria,BA-1000012
Batik Lengan Pendek Pria,BA-1000013
Baju Etnik,BA-1000014
Luaran Batik,LU-1000001
Luaran Etnik,LU-1000002
Kain Batik,KA-1000281
Baju Tidur & Piyama,BA-1000018
Celana Boxer & Brief,CE-1000003
Kaos Dalam,PA-1000006
Tas Selempang Pria,TA-1000014
Tas Ransel Pria,TA-1000015
Tas Pinggang Pria,TA-1000118
Clutch Pria,PO-1000008
Aksesoris Pria Lainnya,AK-1000402
"Cincin, Gelang dan Kalung",GE-1000001
Topi & Bandana,TO-1000003
Dasi,DA-1000006
Masker,MA-1000319
Tali Pinggang,TA-1000016
Kacamata Pria,KA-1000022
Dompet Pria,DO-1000003
Aksesoris & Pembersih Sepatu,AK-1000024
Kaos Kaki Pria,KA-1000017
Sandal Pria,SA-1000002
Sepatu Boot Pria,SE-1000010
Sepatu Formal Pria,SE-1000011
Sepatu Kasual,SE-1000012
Slip On & Loafer,SL-1000001
Sepatu Sneaker Pria,SN-1000001
Aksesoris Pria Branded,AK-1000433
Baju Pria Branded,BA-1000756
Celana Branded,CE-1000186
Jaket Pria branded,JA-1000314
Sepatu Pria Branded,SE-1000569
Tas Pria Branded,TA-1000323
Aksesories Muslim Lainnya,AK-1000373
Headpiece Jilbab,HE-1000041
Kaos Kaki Wudhu,KA-1000302
Klip Turki,KL-1000009
Manset Tangan,MA-1000325
Masker Hijab,MA-1000326
Pengait Masker,PE-1001093
Peniti Jilbab,PE-1001092
Blouse Muslim,BL-1000014
Manset,MA-1000033
Tunik Muslim,TU-1000004
Baju Muslim Bayi Laki-laki,BA-1000532
Baju Muslim Bayi Perempuan,BA-1000531
Busana Muslim Family Set,BU-1000163
Busana Muslim Set Anak,BU-1000164
Baju Olahraga Muslim,BA-1000526
Baju Renang Anak,BA-1000525
Baju Renang Dewasa,BA-1000524
Jilbab Olahraga,JI-1000011
Celana Muslim,CE-1000022
Legging Wudhu,LE-1000098
Palazzo,PA-1000336
Rok Muslim,RO-1000011
Abaya,AB-1000002
Gamis,GA-1000022
Jumpsuit Muslim,JU-1000043
Kaftan,KA-1000047
Long Dress Muslim,LO-1000007
Setelan Syari Wanita,SE-1000336
Cadar,CA-1000132
Ciput,IN-1000007
Jilbab Instant,JI-1000003
Jilbab Segiempat,JI-1000001
Khimar,KH-1000009
Pashmina,JI-1000002
Turban,TU-1000032
Homewear Dress Muslim,HO-1000066
Homewear Set Muslim,HO-1000067
Cardigan Muslim,CA-1000015
Coat Muslim,CO-1000127
Jacket Muslim,JA-1000032
Vest Muslim,VE-1000035
Baju Koko Anak,BA-1000515
Gamis Anak Laki,GA-1000132
Kaos Anak Muslim,KA-1000304
Atasan Muslim Anak Perempuan,AT-1000065
Gamis Anak Perempuan,GA-1000136
Hijab Anak,HI-1000103
Manset Anak,MA-1000323
Rok Muslim Anak,RO-1000086
Baju Kasual Muslim,BA-1000299
Baju Koko,BA-1000022
Celana Sarung,CE-1000111
Celana Sirwal,CE-1000112
Gamis Pria,GA-1000134
Baju Ihram,BA-1000517
Mukena Anak,MU-1000070
Mukena Dewasa,MU-1000008
Peci Anak,PE-1001089
Peci Dewasa,PE-1001088
Rompi Sholat,RO-1000084
Sajadah,SA-1000017
Sarung Anak,SA-1000171
Sarung Dewasa,SA-1000003
Seperangkat Alat Sholat,SE-1000339
Sorban,SO-1000066
Tasbih,TA-1000179
Telur Ayam,TE-1000183
Telur Bebek,TE-1000184
Telur Lainnya,TE-1000185
Makanan Halal,MA-1000331
Minuman Halal,MI-1000188
Rokok dan Korek,RO-1000046
Pengganti Rokok,PE-1001067
Rokok Elektrik,RO-1000033
Daging,DA-1000045
Ayam,AY-1000007
Makanan Beku,MA-1000161
Bebek,BE-1000289
Unggas Lainnya,UN-1000013
Seafood,SE-1000379
Kuliner Oriental,KU-1000084
Kuliner Korea,KU-1000083
Kuliner Jepang,KU-1000082
Kuliner Eropa,KU-1000079
Kuliner Amerika,KU-1000078
Tisu,TI-1000091
Pengharum Ruangan,PE-1000653
Pembersih Pakaian,PE-1000651
Pembersih Luar Rumah,PE-1000649
Pembersih Lantai,PE-1000647
Pembersih Kamar Mandi,PE-1000645
Pembersih Kaca,PE-1000644
Pembersih Dapur,PE-1000643
Pembasmi Hama & Serangga,PE-1000642
Susu Ibu Hamil,SU-1000096
Susu Formula & Makanan Bayi,SU-1000095
Popok Bayi & Anak,PO-1000071
Ibu Hamil & Menyusui,IB-1000002
Perawatan Mandi & Kulit Anak,PE-1000639
Milk Maker & Bottle Warmer,MI-1000275
Keamanan Bayi dan Balita,KE-1000032
Pembersih Alat Makan Anak,PE-1000638
Sterilizer,ST-1000020
Perlengkapan Masak MPASI,SL-1000008
Perlengkapan Mandi Anak,PE-1000114
Produk Berpergian Anak,PE-1000115
Perlengkapan Makan Anak,PE-1000116
Gift Set & Perlengkapan Pesta,GI-1000029
Sewa Perlengkapan Anak,SE-1000204
Perawatan Kulit Wajah,PE-1000652
Perawatan Kulit Pria,PE-1000650
Perawatan Kulit Badan,PE-1000648
Pembalut & Popok Dewasa,PE-1000646
Kesehatan Rambut,KE-1000182
Kesehatan Mulut & Gigi,KE-1000181
Teh,TE-1000096
Susu & Olahan Lainnya,SU-1000100
Sirup & Madu,SI-1000050
Minuman Stamina,MI-1000109
Minuman Lainnya,MI-1000124
Minuman Coklat,MI-1000123
Minuman Bubuk,MI-1000122
Minuman Bersoda,MI-1000108
Aneka Kopi,KO-1000101
Jus Segar,JU-1000049
Jus,JU-1000034
Air Mineral,AI-1000018
Sayuran,SA-1000086
Buah - buahan,BU-1000105
Produk Olahan Susu,PR-1000085
Minyak Masakan,MI-1000106
Makanan Organik,MA-1000164
Makanan Kaleng,MA-1000163
Makanan Instan,MA-1000162
Bumbu Masak,BU-1000097
Aneka Beras,BE-1000233
"Bahan Kue, Roti & Agar-agar",BA-1000281
Paket Nasi,PA-1000306
Menu Ala Carte,ME-1000158
Chinese Food,CH-1000037
Sushi,SU-1000143
Makanan Seafood,MA-1000291
Pastry & Bakery,PA-1000307
Menu Coffee Shop,ME-1000159
Dessert,BO-1000136
Makanan Restoran Lainnya,MA-1000292
Steak & Olahan Daging,ST-1000195
Salad,SA-1000158
Bakmi,BA-1000488
Sup,SU-1000145
Permen & Coklat,PE-1000685
Cake & Kue Kering,CA-1000064
Biskuit & Snack,BI-1000034
Sereal & Oatmeal,SE-1000194
Selai,SE-1000193
"Roti, Sereal & Selai Lainnya",RO-1000052
Roti,RO-1000051
Coklat Meses,CO-1000134
